"Andalucia","Aragon","Principado De Asturias","Baleares (Islas)","Canarias","Cantabria","Castilla Y Leon","Castilla-La Mancha","Cataluna","Comunidad Valenciana","Extremadura","Galicia","Madrid (Comunidad De)","Murcia (Region de)","Navarra (Comunidad Foral De)","Rioja (La)"
2.01013996001143,2.8814623608517,2.96729511957242,4.05884050567026,2.35768361487957,3.1370322590588,2.13881740226844,1.66752359520466,4.24178820002321,3.21929439140435,1.53584691396069,1.98329041869734,5.16109689921183,2.11860898629967,3.16352462877515,2.96986570905801
2.12917747377702,3.09954297028416,3.14388738227415,4.36025410848017,2.44572979148815,3.32762067980577,2.23950296427583,1.75242790389967,4.57533547892566,3.36246790119118,1.59625816399695,2.00578416629847,5.63260481310585,2.30548404278465,3.33590405357119,3.1531705750087
2.28034844571473,3.35918318643055,3.37353608023266,4.64617269647288,2.64824325443846,3.55534143565008,2.45422738104403,1.92045131706231,4.83804641196265,3.56998002314629,1.70558416240728,2.18566114376082,5.84083127825644,2.52142249431245,3.62339341208037,3.40438446158241
2.43101972608831,3.61418169724945,3.59725799604131,4.91152526105822,2.84475867525573,3.77142262506471,2.67223651257286,2.09190240079285,5.08133409636867,3.76521014922076,1.81769496609367,2.36639542022592,6.02449287996398,2.73907445424354,3.89481571462283,3.66923755252406
2.50885458681727,3.68009129785463,3.67259352726788,5.05069971288895,2.95115680362251,3.83940290567092,2.77777777777778,2.18259064479066,5.15809787814531,3.82369302130195,1.88281929040085,2.45879739054746,6.09932893754686,2.85125684479379,3.98514722286378,3.80398473273819
2.58469002752841,3.74528699110522,3.74335883107059,5.18466150784486,3.05419873932504,3.90609832737521,2.88217648612673,2.27470713933854,5.22365052507319,3.8741786491527,1.9488718468133,2.54970006825617,6.15202820120591,2.96593834692599,4.07297918368189,3.92180821174419
2.69444434855945,3.88331910400042,3.9093828242154,5.46679525367194,3.2317908209959,4.03213348432256,2.98807492292939,2.3783919403329,5.33247650503874,3.97814892592072,2.03263348969212,2.66966570516683,6.11046859449198,3.09918601660686,4.21001147760796,4.03270487171076
2.80234220537994,4.01613812417992,4.07312213948916,5.73764638674664,3.40338464261327,4.15595544130248,3.09454431127937,2.48236221710092,5.42944892070458,4.07340761526283,2.11760916733054,2.78784635577056,6.057340899252,3.22729228939611,4.35239938421612,4.16031123501544
2.98736079765435,4.24364488215421,4.30862614169389,6.16145369598642,3.66031153138724,4.37589251494551,3.30227086694538,2.7090831539761,5.67437885353069,4.27977739828241,2.24550122432932,2.9783632986139,6.2531419768738,3.46115404318074,4.55698352716746,4.37303644968625
3.17909177525729,4.47622090535517,4.54970019029161,6.58169103261233,3.91288219060737,4.61082556560291,3.5209939058288,2.94744365728096,5.91552394419117,4.48628970126839,2.38196234878762,3.17737783101313,6.43558976174218,3.70615545391049,4.76570990180261,4.60354179288618
